----------------------------------------------------------
Flugprofil BA NOIZH Bisang und Gschwend
----------------------------------------------------------
BEGIN_PROFILE
ProfileID:	Flight1_R2D_A321
Procedure:	S
Offset:	A
Offsetweight:	---
AircraftType:	A321
Route:	R2D
Runway:	12
disxy	z	v	rho	c	n1	flaps	gears	sb	phase
42324.5727248044	1289.45818448	247.991845664669	1.03585303649337	333.651048456497	85	-99	-99	-99	-99
44564.9813636534	1359.86498448	248.227011699083	1.02859099972886	333.375327013661	85	-99	-99	-99	-99
46757.6194513219	1399.18218448	235.864421667825	1.02455265209025	333.221256886321	85	-99	-99	-99	-99
49010.0298806313	1469.58898448	251.2199965014	1.01735134786825	332.945179520962	85	-99	-99	-99	-99
51248.5107312046	1532.22338448	247.615813814142	1.01097761839804	332.699386541535	85	-99	-99	-99	-99
53455.6080670982	1571.54058448	239.476140851027	1.0069923022808	332.545003247001	85	-99	-99	-99	-99
55691.7856249277	1610.85778448	246.740250286405	1.00301901540219	332.390548247061	85	-99	-99	-99	-99
57902.7443518207	1642.40258448	240.369084586472	0.999839865939309	332.266574691072	85	-99	-99	-99	-99
60144.3685539271	1681.71978448	248.100836407667	0.995888195982698	332.11199020266	85	-99	-99	-99	-99
62260.2381189251	1721.03698448	216.690439597256	0.991948484783625	331.957333728004	85	-99	-99	-99	-99
64425.3830701081	1752.58178448	228.922115041708	0.988796222706538	331.833198322232	85	-99	-99	-99	-99
66579.8867766875	1784.12658448	226.263401484733	0.985651629502087	331.709016461292	85	-99	-99	-99	-99
68611.5406378697	1823.44378448	195.660516091775	0.981742948721691	331.554172015904	85	-99	-99	-99	-99
70638.707743083	1854.98858448	194.45175877205	0.978615535668329	331.429885607963	85	-99	-99	-99	-99
72603.8337176121	1894.30578448	179.05149427992	0.974728227485623	331.274910691319	85	-99	-99	-99	-99
74583.9692900721	1925.85058448	182.704171507282	0.971617929448255	331.150519471882	85	-99	-99	-99	-99
76561.0129377321	1957.39538448	181.931913777145	0.96851522938512	331.026081509378	85	-99	-99	-99	-99
78396.1478812217	1996.71258448	146.613595956431	0.964658664746349	330.870917457077	85	-99	-99	-99	-99
80250.9537045982	2028.25738448	151.406976060614	0.961572985811908	330.746374298863	85	-99	-99	-99	-99
81996.4247132883	2083.11938448	124.624776704005	0.956224434184295	330.529659885817	85	-99	-99	-99	-99
83755.8209905274	2130.20898448	127.892043754977	0.951651798416748	330.343534415532	85	-99	-99	-99	-99
85524.0853806726	2192.84338448	130.508870904421	0.94559562817106	330.095804228127	85	-99	-99	-99	-99
87283.4839257337	2232.16058448	127.728403244509	0.94180910782552	329.940202685953	85	-99	-99	-99	-99
89054.6824166691	2287.02258448	131.019489484689	0.936544912397577	329.722958407263	85	-99	-99	-99	-99
90840.0561709597	2334.11218448	134.360170626231	0.932044482723861	329.53637730416	85	-99	-99	-99	-99
92627.3736309947	2381.20178448	134.844234972868	0.927560615392833	329.349690500328	85	-99	-99	-99	-99
94364.9616022567	2397.20178448	121.962604340284	0.926040859185565	329.286234380761	85	-99	-99	-99	-99
96253.6143365113	2498.69818448	161.666870868734	0.916444563341851	328.883413725776	85	-99	-99	-99	-99
98058.426854716	2569.10498448	139.8155141255	0.909832554345499	328.603691928842	85	-99	-99	-99	-99
99843.7971431632	2642.30984848	135.088003229688	0.902996536203084	328.312600881757	85	-99	-99	-99	-99
101633.837389842	2712.71664848	136.152622431373	0.896458941731973	328.03239233815	85	-99	-99	-99	-99
103433.429106246	2814.21304848	139.721279238564	0.887098327873192	327.628030080376	85	-99	-99	-99	-99
105269.405351694	2892.39224848	147.792114882281	0.879939292529916	327.316223102632	85	-99	-99	-99	-99
107074.213084703	2962.79904848	139.814327344388	0.873529893799554	327.035160848979	85	-99	-99	-99	-99
108875.049692808	3064.29544848	140.027338411471	0.864353213004237	326.629564036656	85	-99	-99	-99	-99
110649.709591975	3142.47464848	132.613158544709	0.857335156194672	326.31680299151	85	-99	-99	-99	-99
112449.9921482	3251.74344848	140.256586819254	0.847599359231516	325.879162991953	85	-99	-99	-99	-99
114238.861475221	3337.69504848	136.420267268581	0.840000727646298	325.534498894722	85	-99	-99	-99	-99
116010.166854296	3415.87424848	131.783744626786	0.833134580394177	325.22068473955	85	-99	-99	-99	-99
117798.642335376	3525.14304848	137.362548202151	0.823610001262306	324.781567734682	85	-99	-99	-99	-99
119585.541048676	3595.54984848	135.3738679152	0.817517165251728	324.498310112	85	-99	-99	-99	-99
121369.768558327	3704.81864848	136.321931178077	0.808129654444709	324.058214250588	85	-99	-99	-99	-99
123142.086809579	3790.77024848	132.335755073316	0.800803499789796	323.711611348098	85	-99	-99	-99	-99
124926.436680091	3868.94944848	135.009668965883	0.794184055804535	323.396028320395	85	-99	-99	-99	-99
126715.29809635	3947.12864848	136.125772092903	0.787606550398631	323.08013703295	85	-99	-99	-99	-99
128501.807401246	4001.99064848	134.826757656586	0.783015749546275	322.858276799	85	-99	-99	-99	-99
130289.118306175	4080.16984848	135.742171935696	0.776509189232726	322.541858848497	85	-99	-99	-99	-99
132074.483816337	4127.25944848	134.3581175205	0.772610109055252	322.351121256551	85	-99	-99	-99	-99
133863.220464109	4197.66624848	135.829464112866	0.766808292624015	322.065726057123	85	-99	-99	-99	-99
135668.164884404	4268.07304848	139.848227353553	0.761039863910962	321.780077733299	85	-99	-99	-99	-99
137453.529424125	4315.16264848	134.357875843417	0.757200379800712	321.588888321658	85	-99	-99	-99	-99
139258.196477442	4385.56944848	139.779437311594	0.751487372442349	321.302816074347	85	-99	-99	-99	-99
141057.04973951	4432.65904848	137.71740397255	0.747684831492098	321.111342501659	85	-99	-99	-99	-99
142877.043991895	4495.29344848	143.356312168001	0.74264985926014	320.85648430737	85	-99	-99	-99	-99
144699.789540271	4565.70024848	144.264206551586	0.737021099085998	320.569758472991	85	-99	-99	-99	-99
146502.759141891	4612.78984848	138.742749978036	0.733274715512784	320.377846789293	85	-99	-99	-99	-99
148325.515336932	4683.19664848	144.266848332325	0.727700442184345	320.09069220877	85	-99	-99	-99	-99
150166.901688141	4730.28624848	148.314540509564	0.723990377918603	319.898493126494	85	-99	-99	-99	-99
151939.250251411	4792.92064848	131.522595400317	0.719078023579826	319.64266790194	85	-99	-99	-99	-99
153607.915407844	4871.09984848	106.475496161078	0.712982327223355	319.323063613159	85	-99	-99	-99	-99
155253.984936889	4933.73424848	100.24786154247	0.708127258367231	319.066777014094	85	-99	-99	-99	-99
156762.322587622	5004.14104848	66.9400194541145	0.702699953521111	318.778441428381	85	-99	-99	-99	-99
158271.894038603	5059.00304848	66.3264545677869	0.698493023202742	318.553585244143	85	-99	-99	-99	-99
159789.809525862	5129.40984848	69.2530801658777	0.693122346200915	318.264784726874	85	-99	-99	-99	-99
161136.664381889	5199.81664848	29.9353267710935	0.687783316271764	317.97572190749	85	-99	-99	-99	-99
162465.148014597	5254.67864848	23.9394022051165	0.683644921157614	317.750297678822	85	-99	-99	-99	-99
163797.155371506	5325.08544848	27.0212000953832	0.678361878355039	317.460766395354	85	-99	-99	-99	-99
165130.560263035	5387.71984848	26.0761433045954	0.673688346913773	317.202975142406	85	-99	-99	-99	-99
166460.106380069	5458.12664848	26.557369765135	0.66846431822877	316.912943826124	85	-99	-99	-99	-99
167816.034103202	5528.53344848	31.7979952338893	0.66327133487654	316.622646836713	85	-99	-99	-99	-99
169145.180128542	5591.16784848	25.2328671954894	0.658677609276542	316.364172637727	85	-99	-99	-99	-99
170492.17527617	5653.80224848	28.8651246389816	0.654108261688275	316.105487088759	85	-99	-99	-99	-99
171842.708965654	5716.43664848	29.6121710457339	0.649563202340712	315.846589670507	85	-99	-99	-99	-99
173173.619876743	5786.84344848	26.8138175892883	0.644483024341883	315.555311683761	85	-99	-99	-99	-99
174543.170908358	5849.47784848	33.7412185091405	0.639989258427848	315.295962503017	85	-99	-99	-99	-99
175894.956324417	5912.11224848	29.8782309816846	0.635519501488392	315.036399816865	85	-99	-99	-99	-99
177264.50449416	5974.74664848	33.740584753666	0.631073664511985	314.776623097141	85	-99	-99	-99	-99
178614.243885926	6045.15344848	30.5215740871886	0.626104582822932	314.484354100146	85	-99	-99	-99	-99
179982.955397135	6107.78784848	33.5554494053927	0.621709259543102	314.224120991139	85	-99	-99	-99	-99
181351.671232402	6170.42224848	33.5564055048332	0.617337579330886	313.963672184413	85	-99	-99	-99	-99
182702.997722225	6233.05664848	29.7805784061341	0.612989453932934	313.703007142727	85	-99	-99	-99	-99
184097.988990877	6295.69104848	39.4853897415829	0.608664795279539	313.442125326603	85	-99	-99	-99	-99
185439.367339624	6342.78064848	25.6995051605708	0.605428844139178	313.245846892133	85	-99	-99	-99	-99
186842.017625336	6382.09784848	39.4080828826542	0.602737100452774	313.081871041112	85	-99	-99	-99	-99
188227.027072948	6421.41504848	35.1544744309252	0.600054521291414	312.917809263132	85	-99	-99	-99	-99
189641.180157289	6460.73224848	42.1989908902658	0.597381085016134	312.753661422967	85	-99	-99	-99	-99
191050.771845606	6500.04944848	41.0908666826892	0.594716770016435	312.589427385038	85	-99	-99	-99	-99
192440.721590028	6539.36664848	36.3419292791407	0.592061554710273	312.425107013408	85	-99	-99	-99	-99
193886.235985227	6586.45624848	50.2763047804795	0.588893390129764	312.228189243463	85	-99	-99	-99	-99
195290.176527505	6641.31824848	40.8560962410428	0.585218676759255	311.998612353712	85	-99	-99	-99	-99
196750.783229082	6680.63544848	53.561311226576	0.582595979490538	311.833980653289	85	-99	-99	-99	-99
198145.258151232	6751.04224848	40.1793795190271	0.577921892979248	311.538951040511	85	-99	-99	-99	-99
199574.778471448	6813.67664848	47.533286648548	0.573787952211091	311.276255526003	85	-99	-99	-99	-99
201010.422837021	6876.31104848	48.9814368742581	0.569676670510295	311.013338127415	85	-99	-99	-99	-99
202440.314788312	6946.71784848	48.2948183204024	0.565082157558474	310.71752930677	85	-99	-99	-99	-99
203808.198696592	6986.03504848	31.0669217648938	0.562528814123029	310.552218472092	85	-99	-99	-99	-99
205270.266879319	7056.44184848	55.8625722260234	0.557978508356136	310.255970004259	85	-99	-99	-99	-99
206700.147583924	7095.75904848	46.0318572465977	0.555449768889686	310.090413109979	85	-99	-99	-99	-99
208163.124951717	7166.16584848	56.0783362127786	0.550943374759093	309.79372302883	85	-99	-99	-99	-99
209592.100858501	7228.80024848	47.4048014922781	0.546958009953783	309.529546355322	85	-99	-99	-99	-99
211052.710200964	7275.88984848	53.9523664684596	0.543976297586752	309.330785297622	85	-99	-99	-99	-99
212470.063213001	7346.29664848	45.3900788472434	0.539541353993846	309.033365930266	85	-99	-99	-99	-99
213944.009267308	7385.61384848	56.8428081727623	0.537076819376308	308.867153704669	85	-99	-99	-99	-99
215380.554553033	7456.02064848	49.847430420624	0.53268501198022	308.569287459024	85	-99	-99	-99	-99
216878.709936035	7510.88264848	63.5368658521428	0.529281938701572	308.336986291557	85	-99	-99	-99	-99
218340.789974222	7565.74464848	54.7652841914479	0.525895521646049	308.104509976322	85	-99	-99	-99	-99
219799.952253734	7612.83424848	53.599375928601	0.523002105312197	307.904829019718	85	-99	-99	-99	-99
221256.202825151	7652.15144848	52.4911542700033	0.520595605769913	307.738007261202	85	-99	-99	-99	-99
222734.919446619	7714.78584848	59.2844630781529	0.516779429627547	307.472064344005	85	-99	-99	-99	-99
224216.879704643	7777.42024848	60.0669571008528	0.512984690147052	307.205891204631	85	-99	-99	-99	-99
225653.425062428	7816.73744848	47.6609200021202	0.510613550225624	307.038689696047	85	-99	-99	-99	-99
227143.532815196	7887.14424848	62.5544015364226	0.506388419258421	306.739047882091	85	-99	-99	-99	-99
228573.954461196	7934.23384848	46.6163871224505	0.503577521634046	306.538477456785	85	-99	-99	-99	-99
230102.906472967	8004.64064848	71.9250227482014	0.499397044165296	306.23834620581	85	-99	-99	-99	-99
231577.775592667	8075.04744848	58.9084238887845	0.495243166947553	305.937920520186	85	-99	-99	-99	-99
233065.649430653	8122.13704848	60.6224964565808	0.492479749988659	305.736824537261	85	-99	-99	-99	-99
234565.904762833	8184.77144848	64.4936040181605	0.488822395772986	305.469139385627	85	-99	-99	-99	-99
236023.587958892	8231.86104848	53.2386961908052	0.486086446089157	305.267734591961	85	-99	-99	-99	-99
237507.59075928	8294.49544848	60.560083105854	0.482465500111771	304.999637740401	85	-99	-99	-99	-99
238978.491436697	8364.90224848	57.9623944734461	0.478419898057368	304.697990717237	85	-99	-99	-99	-99
240454.178490757	8404.21944848	57.2715508490064	0.476172038384999	304.529412252012	85	-99	-99	-99	-99
241952.416835366	8482.39864848	65.064517522351	0.471726355690398	304.193929489692	85	-99	-99	-99	-99
243456.012681346	8545.03304848	65.3040586228273	0.468187599694279	303.924885419486	85	-99	-99	-99	-99
244913.699466223	8584.35024848	52.8438991441573	0.465976631258264	303.755877896514	85	-99	-99	-99	-99
246384.604875877	8639.21224848	56.9039975851585	0.462904873342976	303.519892773228	85	-99	-99	-99	-99
247844.139115856	8701.84664848	54.6738430300203	0.459416897747019	303.250250697241	85	-99	-99	-99	-99
249341.992897335	8772.25344848	64.4149703484054	0.455520134689181	302.946861798048	85	-99	-99	-99	-99
250828.941900368	8819.34304848	60.3957058006779	0.452928040529055	302.74377902642	85	-99	-99	-99	-99
252303.167130128	8858.66024848	56.911551922984	0.450772442552825	302.574111778638	85	-99	-99	-99	-99
253818.640085282	8913.52224848	67.7706282998234	0.447777714022985	302.33720424556	85	-99	-99	-99	-99
255303.577313245	8976.15664848	60.7857760635177	0.444377349691121	302.066506435073	85	-99	-99	-99	-99
256800.499086664	9031.01864848	63.2357697589643	0.441415202175661	301.829200479807	85	-99	-99	-99	-99
258276.579026329	9078.10824848	57.7329896738915	0.438884774895815	301.625365193632	85	-99	-99	-99	-99
259758.71071051	9125.19784848	59.2149417531492	0.436365459244305	301.421392064505	85	-99	-99	-99	-99
261261.35535419	9180.05984848	64.6331740595625	0.433444285558345	301.183577816742	85	-99	-99	-99	-99
262829.16035918	9250.46664848	81.3776453804735	0.429717360959141	300.878105005731	85	-99	-99	-99	-99
264327.921604884	9305.32864848	63.684768787343	0.426830320601787	300.639861003543	85	-99	-99	-99	-99
265845.239050024	9352.41824848	67.8583298612067	0.424364146951575	300.435218791242	85	-99	-99	-99	-99
267303.440813617	9415.05264848	54.3547619960359	0.421100771134279	300.16280570552	85	-99	-99	-99	-99
268849.403383726	9469.91464848	75.2511137581307	0.418258155964533	299.923993507355	85	-99	-99	-99	-99
270376.734768767	9524.77664848	56.5411482631366	0.415430243307171	299.684991005205	85	-99	-99	-99	-99
271854.453298555	9595.18344848	59.5886137901677	0.41182251641451	299.377989102632	85	-99	-99	-99	-99
273368.803214548	9642.27304848	89.5037606371542	0.40942299991122	299.172483736469	85	-99	-99	-99	-99
274866.09271202	9704.90744848	63.7745852708242	0.406247967290774	298.898919810554	85	-99	-99	-99	-99
276391.883772803	9767.54184848	70.7035082541948	0.403091804520404	298.625105278816	85	-99	-99	-99	-99
277912.664119019	9814.63144848	68.7110918651061	0.400731327235684	298.419081442015	85	-99	-99	-99	-99
279471.957703492	9877.26584848	78.8929612909511	0.39760803348521	298.144826229743	85	-99	-99	-99	-99
281081.304689423	9924.35544848	90.6048035169521	0.395272178159842	297.938470281157	85	-99	-99	-99	-99
282705.096790983	9979.21744848	94.4491841656199	0.392564032547071	297.697873734203	85	-99	-99	-99	-99
284315.550785819	10034.07944848	91.1512895674885	0.389870103659174	297.457082582102	85	-99	-99	-99	-99
285922.370032547	10081.16904848	89.9782630916422	0.387569127487498	297.250249191094	85	-99	-99	-99	-99
287550.267536962	10128.25864848	95.2050268732313	0.385278554323316	297.043271780526	85	-99	-99	-99	-99
289182.675137719	10167.57584848	96.1058710917439	0.383373998461871	296.8703465985	85	-99	-99	-99	-99
290810.116761748	10206.89304848	94.8709721693644	0.381476653162555	296.697320629876	85	-99	-99	-99	-99
292442.524431623	10246.21024848	96.1058882803184	0.379586499491219	296.524193698224	85	-99	-99	-99	-99
294047.462561051	10285.52744848	71.4218224180411	0.377703518541418	296.350965626596	85	-99	-99	-99	-99
295654.441409117	10324.84464848	119.712498271922	0.375827691434402	296.177636237528	85	-99	-99	-99	-99
297306.260188022	10364.16184848	100.934438280736	0.373958999319105	296.004205353038	85	-99	-99	-99	-99
298961.138803733	10403.47904848	101.695788898617	0.372097423372143	295.83067279462	85	-99	-99	-99	-99
300589.404751276	10450.56864848	95.2964314321864	0.369877181748091	295.622701482869	85	-99	-99	-99	-99
302219.323427068	10489.88584848	95.4869239840567	0.368031178889133	295.448944847437	85	-99	-99	-99	-99
303873.724670073	10536.97544848	101.783408450435	0.365829534681146	295.240704641782	85	-99	-99	-99	-99
305528.644935091	10584.06504848	101.912294232054	0.363637980039099	295.032317455711	85	-99	-99	-99	-99
307159.391998469	10631.15464848	95.9119898328113	0.361456482885115	294.823782977561	85	-99	-99	-99	-99
308811.727723194	10678.24424848	101.270512063665	0.359285011198153	294.61510089456	85	-99	-99	-99	-99
310460.974125379	10725.33384848	100.503457678538	0.357123533013995	294.406270892832	85	-99	-99	-99	-99
312118.875682709	10772.42344848	102.652664024385	0.354972016425217	294.197292657386	85	-99	-99	-99	-99
313774.9624039	10819.51304848	102.201961684716	0.352830429581175	293.988165872111	85	-99	-99	-99	-99
315426.781182807	10874.37504848	101.386688637722	0.350347843076898	293.744333775543	85	-99	-99	-99	-99
317058.027090879	10929.23704848	96.2932634797888	0.347878641420961	293.500299109946	85	-99	-99	-99	-99
318708.64547802	10991.87144848	81.0970184850481	0.345075922892599	293.221443309482	85	-99	-99	-99	-99
End_Profile
